source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_id,event_import_source,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude
NASA_COOLR_GLC,https://landslides.nasa.gov/viewer,NASA-COOLR-1001,2023-08-14 08:30:00 AM,08:30,"Landslide in Summer Hill Shiv Temple, Shimla","Triggered slope failure in Summer Hill Shiv Temple, Shimla, Himachal Pradesh during heavy rainfall event.","Summer Hill Shiv Temple, Shimla, Himachal Pradesh",5km,debris_flow,monsoon_downpour,medium,natural_slope,0,0,Monsoon Depression,,Verified against state disaster management reports & GSI compendium,IMP-NASA-COOLR-1001,NASA_COOLR_Catalog,India,IND,Himachal Pradesh,1000000,Summer Hill Shiv Temple,2.5,2023-08-14 12:00:00 PM,2023-08-14 12:00:00 PM,2023-08-14 12:00:00 PM,77.1354,31.1092
NASA_COOLR_GLC,https://landslides.nasa.gov/viewer,NASA-COOLR-1002,2023-08-14 08:30:00 AM,08:30,"Landslide in Fagli slope collapse, Shimla","Triggered slope failure in Fagli slope collapse, Shimla, Himachal Pradesh during heavy rainfall event.","Fagli slope collapse, Shimla, Himachal Pradesh",5km,mudslide,continuous_rain,medium,natural_slope,0,0,Localized Cloudburst,,Verified against state disaster management reports & GSI compendium,IMP-NASA-COOLR-1002,NASA_COOLR_Catalog,India,IND,Himachal Pradesh,1000000,Fagli slope collapse,2.5,2023-08-14 12:00:00 PM,2023-08-14 12:00:00 PM,2023-08-14 12:00:00 PM,77.1652,31.0965
NASA_COOLR_Citizen,https://landslides.nasa.gov/viewer,NASA-COOLR-1003,2023-08-15 08:30:00 AM,08:30,"Landslide in Krishna Nagar, Shimla","Triggered slope failure in Krishna Nagar, Shimla, Himachal Pradesh during heavy rainfall event.","Krishna Nagar, Shimla, Himachal Pradesh",5km,rotational_slide,monsoon_rain,medium,natural_slope,0,0,Monsoon Depression,,Verified against state disaster management reports & GSI compendium,IMP-NASA-COOLR-1003,NASA_COOLR_Catalog,India,IND,Himachal Pradesh,1000000,Krishna Nagar,2.5,2023-08-15 12:00:00 PM,2023-08-15 12:00:00 PM,2023-08-15 12:00:00 PM,77.1524,31.1215
NASA_COOLR_Event,https://landslides.nasa.gov/viewer,NASA-COOLR-1004,2023-07-10 08:30:00 AM,08:30,"Landslide in Pandoh Dam NH-21 bypass, Mandi","Triggered slope failure in Pandoh Dam NH-21 bypass, Mandi, Himachal Pradesh during heavy rainfall event.","Pandoh Dam NH-21 bypass, Mandi, Himachal Pradesh",5km,rockslide_debris,torrential_rain,medium,road_cut_scarp,0,0,Localized Cloudburst,,Verified against state disaster management reports & GSI compendium,IMP-NASA-COOLR-1004,NASA_COOLR_Catalog,India,IND,Himachal Pradesh,1000000,Pandoh Dam NH-21 bypass,2.5,2023-07-10 12:00:00 PM,2023-07-10 12:00:00 PM,2023-07-10 12:00:00 PM,77.0502,31.6704
NASA_COOLR_GLC,https://landslides.nasa.gov/viewer,NASA-COOLR-1005,2023-07-09 08:30:00 AM,08:30,"Landslide in Victoria Bridge bypass, Mandi","Triggered slope failure in Victoria Bridge bypass, Mandi, Himachal Pradesh during heavy rainfall event.","Victoria Bridge bypass, Mandi, Himachal Pradesh",5km,debris_flow,flooding_rain,medium,natural_slope,0,0,Localized Cloudburst,,Verified against state disaster management reports & GSI compendium,IMP-NASA-COOLR-1005,NASA_COOLR_Catalog,India,IND,Himachal Pradesh,1000000,Victoria Bridge bypass,2.5,2023-07-09 12:00:00 PM,2023-07-09 12:00:00 PM,2023-07-09 12:00:00 PM,76.9321,31.7082
NASA_COOLR_Event,https://landslides.nasa.gov/viewer,NASA-COOLR-1006,2023-08-24 08:30:00 AM,08:30,"Landslide in Anni hillside scarp, Kullu","Triggered slope failure in Anni hillside scarp, Kullu, Himachal Pradesh during heavy rainfall event.","Anni hillside scarp, Kullu, Himachal Pradesh",5km,rotational_slide,monsoon_deluge,large,natural_slope,0,0,Monsoon Depression,,Verified against state disaster management reports & GSI compendium,IMP-NASA-COOLR-1006,NASA_COOLR_Catalog,India,IND,Himachal Pradesh,1000000,Anni hillside scarp,2.5,2023-08-24 12:00:00 PM,2023-08-24 12:00:00 PM,2023-08-24 12:00:00 PM,77.4285,31.4251
NASA_COOLR_GLC,https://landslides.nasa.gov/viewer,NASA-COOLR-1007,2023-08-13 08:30:00 AM,08:30,"Landslide in Jadon village, Solan","Triggered slope failure in Jadon village, Solan, Himachal Pradesh during heavy rainfall event.","Jadon village, Solan, Himachal Pradesh",5km,debris_flow,cloudburst,medium,natural_slope,0,0,Localized Cloudburst,,Verified against state disaster management reports & GSI compendium,IMP-NASA-COOLR-1007,NASA_COOLR_Catalog,India,IND,Himachal Pradesh,1000000,Jadon village,2.5,2023-08-13 12:00:00 PM,2023-08-13 12:00:00 PM,2023-08-13 12:00:00 PM,77.0982,30.9854
NASA_COOLR_Event,https://landslides.nasa.gov/viewer,NASA-COOLR-1008,2023-07-09 08:30:00 AM,08:30,"Landslide in Bahang Manali-Leh road, Kullu","Triggered slope failure in Bahang Manali-Leh road, Kullu, Himachal Pradesh during heavy rainfall event.","Bahang Manali-Leh road, Kullu, Himachal Pradesh",5km,flash_flood_debris,torrential_rain,medium,road_cut_scarp,0,0,Localized Cloudburst,,Verified against state disaster management reports & GSI compendium,IMP-NASA-COOLR-1008,NASA_COOLR_Catalog,India,IND,Himachal Pradesh,1000000,Bahang Manali-Leh road,2.5,2023-07-09 12:00:00 PM,2023-07-09 12:00:00 PM,2023-07-09 12:00:00 PM,77.1894,32.2685
NASA_COOLR_GLC,https://landslides.nasa.gov/viewer,NASA-COOLR-1009,2021-08-11 08:30:00 AM,08:30,"Landslide in Nigulsari NH-5, Kinnaur","Triggered slope failure in Nigulsari NH-5, Kinnaur, Himachal Pradesh during heavy rainfall event.","Nigulsari NH-5, Kinnaur, Himachal Pradesh",5km,rockfall,continuous_rain,medium,road_cut_scarp,0,0,Localized Cloudburst,,Verified against state disaster management reports & GSI compendium,IMP-NASA-COOLR-1009,NASA_COOLR_Catalog,India,IND,Himachal Pradesh,1000000,Nigulsari NH-5,2.5,2021-08-11 12:00:00 PM,2021-08-11 12:00:00 PM,2021-08-11 12:00:00 PM,77.9221,31.5452
NASA_COOLR_GLC,https://landslides.nasa.gov/viewer,NASA-COOLR-1010,2021-07-25 08:30:00 AM,08:30,"Landslide in Batseri Sangla valley, Kinnaur","Triggered slope failure in Batseri Sangla valley, Kinnaur, Himachal Pradesh during heavy rainfall event.","Batseri Sangla valley, Kinnaur, Himachal Pradesh",5km,rockfall,rain_slope_failure,medium,natural_slope,0,0,Localized Cloudburst,,Verified against state disaster management reports & GSI compendium,IMP-NASA-COOLR-1010,NASA_COOLR_Catalog,India,IND,Himachal Pradesh,1000000,Batseri Sangla valley,2.5,2021-07-25 12:00:00 PM,2021-07-25 12:00:00 PM,2021-07-25 12:00:00 PM,78.2754,31.4331
